code;asdad
PART;-401,00
04-104-870;0,00
000305L;1,00
000305M;2,00
000401L;1,00
1003101M;0,00
1003102L;1,00
11010406L;2,00
11010406M;1,00
11010406XL;1,00
111413010M;1,00
112420540L;0,00
112420540M;0,00
112420550XL;1,00
112422112L;2,00
112422112M;2,00
121211310;1,00
122421410SMPL;0,00
122421450SMPL;0,00
1301111S/II;6,00
133230000L;1,00
133230000XL;1,00
135016181L;1,00
135016181M;1,00
135016181XL;1,00
137071350;2,00
138080010M;5,00
138080110M;5,00
138080110S;1,00
20136M;1,00
2100124143-46;1,00
220020001L;0,00
220020001M;-1,00
220020201L;0,00
220020201XL;1,00
240024005;0,00
25002563;0,00
2700252;0,00
300030161M;3,00
3000302211;0,00
927020;1,00
932090;2,00
910966;0,00
910967;0,00
914813;0,00
920356;0,00
01B1M00005;0,00
01B1M00007;0,00
01B1S00007;0,00
01FXS00007;-1,00
01RBTM0002;3,00
01TGTR00001;0,00
01UWS011001;1,00
40242810L360PINK/WH;-1,00
4024289360BK/WH;0,00
40262810450WH;0,00
40262810510WH;0,00
4026289L400PINK;0,00
4024BC010-9330PEARL WH;0,00
116170;0,00
116171;1,00
116172;1,00
2000474;2,00
2011369;0,00
2011371;0,00
2011374;4,00
2011703;0,00
C01003;6,00
1600600N2;0,00
1601200;0,00
1601201;0,00
1602100;3,00
1602500;0,00
1602550;33,00
1602800;5,00
1699350;1,00
1699691N;1,00
1699820;1,00
1699826;2,00
1902230;21,00
1902240;2,00
5336802;0,00
5336852;2,00
5338825;0,00
5338827;6,00
5339540;2,00
5339561;0,00
5339582;2,00
5339620;2,00
5339711;2,00
5339811;0,00
5339850;3,00
5339915;0,00
5341950;24,00
5342200;0,00
5342230;63,00
5342240;14,00
5441210;3,00
5441214;0,00
5441600;0,00
5442102;3,00
5442300;42,00
5442301;51,00
5442501;12,00
5550061;0,00
5550062;0,00
5550063;0,00
5550080;7,00
5550081;9,00
99161;0,00
4026CL082-10430SVR/ANTH;0,00
4026CM004-10480RD/WH;0,00
4026CM007-10530RD/WH;0,00
4026CM020-9485BK/WH;0,00
4028CL011-10450BK/WH;0,00
ALP26123;50,00
ALP26323;50,00
DTCH20SV284;70,00
DTCO18SV261;89,00
DTCO18SV294;95,00
DTCO20SV257;-32,00
DTCO20SV259;85,00
DTCO20SV263;100,00
DTCO20SV265;50,00
DTCO20SV296;47,00
DTRE20BK257;50,00
DTRE20BK259;50,00
DTRE20BK261;40,00
DTRE20BK263;40,00
